,DATE,LATITUDE_F,LONGITUDE_F,LATITUDE_W,LONGITUDE_W,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR,T,TMAX,TMIN,PREC,RH2M,PS,WS10M_MIN,WS10M_MAX,WS10M
90,2013-07-31,37.85083,-119.65967,35.25,-113.75,0.1,A,Miscellaneous,28.05,34.83,21.3,0.0,31.96,88.07,2.06,7.41,4.41
91,2013-07-01,39.46277778,-121.9927778,35.25,-113.75,0.5,B,Missing/Undefined,32.63,39.88,25.09,0.16,19.27,87.65,1.48,6.49,3.76
92,2013-07-29,32.679215,-116.978524,35.25,-113.75,44.0,C,Missing/Undefined,27.05,34.19,19.58,0.0,30.16,87.82,1.87,7.29,4.36
93,2013-07-28,32.6425,-116.8577778,35.25,-113.75,5.0,B,Missing/Undefined,27.03,32.67,22.06,2.06,48.4,87.54,0.24,4.91,2.48
94,2013-07-11,33.17611111,-115.62194440000002,35.25,-113.75,0.5,B,Miscellaneous,24.68,29.02,22.14,0.88,54.15,87.77,0.9,6.02,4.4
95,2013-07-15,33.93,-117.226117,35.25,-113.75,0.1,A,Missing/Undefined,28.88,34.48,23.93,3.31,37.74,87.54,1.93,3.5,2.48
96,2013-07-05,37.2732,-120.3015,35.25,-113.75,0.1,A,Missing/Undefined,27.72,33.22,22.96,0.07,34.28,87.44,1.82,10.51,6.72
97,2013-07-25,33.059283,-117.1011,35.25,-113.75,28.0,C,Missing/Undefined,28.45,34.48,22.74,5.45,44.06,87.91,1.96,4.75,3.63
98,2013-07-14,40.212833,-123.750667,35.25,-113.75,21.0,C,Miscellaneous,29.59,34.69,23.69,1.48,32.98,87.75,0.26,3.42,1.77
99,2013-07-16,36.922533,-121.63055,35.25,-113.75,17.0,C,Miscellaneous,28.06,33.9,21.94,1.65,37.13,87.7,2.66,7.6,5.02
100,2013-07-28,39.812583,-122.197283,35.25,-113.75,17.0,C,Miscellaneous,27.03,32.67,22.06,2.06,48.4,87.54,0.24,4.91,2.48
101,2013-07-02,41.226017,-121.0807,35.25,-113.75,13.8,C,Miscellaneous,30.87,37.71,23.79,0.25,21.78,87.76,1.91,7.48,4.38
102,2013-07-04,33.7388,-116.95855,35.25,-113.75,1.0,B,Miscellaneous,31.1,37.51,24.47,0.2,19.61,87.37,2.81,7.93,4.85
103,2013-07-19,36.7203,-119.67285,35.25,-113.75,1.0,B,Missing/Undefined,28.8,34.98,22.19,0.6,38.89,87.69,1.24,4.44,2.54
104,2013-07-30,39.270467,-120.063333,35.25,-113.75,1.0,B,Miscellaneous,27.44,35.09,18.78,0.0,30.24,88.21,2.23,7.15,4.48
105,2013-07-09,38.7835,-123.009367,35.25,-113.75,1.0,B,Missing/Undefined,30.42,36.82,22.54,0.0,20.77,88.01,1.04,5.09,3.27
106,2013-07-22,36.887633,-119.686067,35.25,-113.75,1.0,B,Miscellaneous,25.24,30.4,19.78,0.24,58.63,87.83,1.49,5.43,3.36
107,2013-07-06,39.169717,-121.608567,35.25,-113.75,1.0,B,Debris Burning,29.91,37.27,23.0,0.15,29.36,87.41,1.86,6.11,4.22
108,2013-07-08,37.565017,-120.425883,35.25,-113.75,1.0,B,Missing/Undefined,31.8,39.35,23.15,0.0,17.06,87.77,1.35,6.75,4.22
109,2013-07-10,37.94805,-120.617167,35.25,-113.75,1.0,B,Miscellaneous,28.47,34.62,22.04,0.11,29.37,87.85,0.53,5.37,2.54
110,2013-07-03,41.241383,-121.035,35.25,-113.75,502.0,E,Miscellaneous,31.36,38.56,23.39,0.0,20.1,87.52,2.62,6.72,4.47
111,2013-07-27,39.77535,-121.997367,35.25,-113.75,0.1,A,Miscellaneous,26.51,31.57,20.65,6.15,51.98,87.85,0.13,5.75,3.13
112,2013-07-24,36.864717,-119.539167,35.25,-113.75,3.0,B,Miscellaneous,29.4,35.24,22.3,0.91,38.44,87.73,1.04,2.63,1.67
113,2013-07-14,40.436233,-122.400283,35.25,-113.75,3.0,B,Miscellaneous,29.59,34.69,23.69,1.48,32.98,87.75,0.26,3.42,1.77
114,2013-07-30,40.883717,-121.67155,35.25,-113.75,0.5,B,Missing/Undefined,27.44,35.09,18.78,0.0,30.24,88.21,2.23,7.15,4.48
115,2013-07-15,37.0774,-122.085,35.25,-113.75,0.5,B,Missing/Undefined,28.88,34.48,23.93,3.31,37.74,87.54,1.93,3.5,2.48
116,2013-07-18,38.9709,-120.88935,35.25,-113.75,0.1,A,Missing/Undefined,28.95,34.95,23.44,0.82,39.57,87.85,1.12,3.79,2.2
117,2013-07-06,37.476383,-120.703217,35.25,-113.75,5.0,B,Miscellaneous,29.91,37.27,23.0,0.15,29.36,87.41,1.86,6.11,4.22
118,2013-07-10,38.51435,-122.074883,35.25,-113.75,5.0,B,Missing/Undefined,28.47,34.62,22.04,0.11,29.37,87.85,0.53,5.37,2.54
119,2013-07-02,40.559383,-122.276733,35.25,-113.75,0.25,A,Missing/Undefined,30.87,37.71,23.79,0.25,21.78,87.76,1.91,7.48,4.38
120,2013-07-04,39.527383,-121.462283,35.25,-113.75,0.25,A,Missing/Undefined,31.1,37.51,24.47,0.2,19.61,87.37,2.81,7.93,4.85
121,2013-07-03,37.015317,-122.052333,35.25,-113.75,0.23,A,Miscellaneous,31.36,38.56,23.39,0.0,20.1,87.52,2.62,6.72,4.47
122,2013-07-05,38.235017,-121.13545,35.25,-113.75,0.22,A,Miscellaneous,27.72,33.22,22.96,0.07,34.28,87.44,1.82,10.51,6.72
123,2013-07-09,33.73055,-117.30625,35.25,-113.75,0.21,A,Missing/Undefined,30.42,36.82,22.54,0.0,20.77,88.01,1.04,5.09,3.27
124,2013-07-12,36.781767,-119.52205,35.25,-113.75,0.2,A,Miscellaneous,26.59,31.75,20.79,0.52,46.26,87.74,1.05,6.08,3.25
125,2013-07-11,38.776767,-120.605833,35.25,-113.75,0.2,A,Missing/Undefined,24.68,29.02,22.14,0.88,54.15,87.77,0.9,6.02,4.4
126,2013-07-03,38.889133,-122.604433,35.25,-113.75,11.5,C,Miscellaneous,31.36,38.56,23.39,0.0,20.1,87.52,2.62,6.72,4.47
127,2013-07-19,36.20725,-120.37315,35.25,-113.75,1.0,B,Miscellaneous,28.8,34.98,22.19,0.6,38.89,87.69,1.24,4.44,2.54
128,2013-07-27,35.45708300000001,-120.331633,35.25,-113.75,1.0,B,Miscellaneous,26.51,31.57,20.65,6.15,51.98,87.85,0.13,5.75,3.13
129,2013-07-05,39.973033,-123.966133,35.25,-113.75,1.0,B,Missing/Undefined,27.72,33.22,22.96,0.07,34.28,87.44,1.82,10.51,6.72
130,2013-07-11,39.308483,-121.637517,35.25,-113.75,1.0,B,Missing/Undefined,24.68,29.02,22.14,0.88,54.15,87.77,0.9,6.02,4.4
131,2013-07-22,40.315983,-121.106983,35.25,-113.75,1.0,B,Miscellaneous,25.24,30.4,19.78,0.24,58.63,87.83,1.49,5.43,3.36
132,2013-07-01,36.998267,-120.873433,35.25,-113.75,1.0,B,Debris Burning,32.63,39.88,25.09,0.16,19.27,87.65,1.48,6.49,3.76
133,2013-07-13,33.7834,-117.23695,35.25,-113.75,1.0,B,Missing/Undefined,28.38,34.09,20.5,1.55,37.96,87.8,1.16,3.32,2.25
134,2013-07-24,38.349367,-120.85045,35.25,-113.75,0.89,B,Missing/Undefined,29.4,35.24,22.3,0.91,38.44,87.73,1.04,2.63,1.67
135,2013-07-16,37.086533,-120.212583,35.25,-113.75,0.8,B,Missing/Undefined,28.06,33.9,21.94,1.65,37.13,87.7,2.66,7.6,5.02
136,2013-07-26,40.428833,-120.806,35.25,-113.75,0.8,B,Miscellaneous,25.55,30.72,22.16,3.67,60.42,88.16,1.33,4.63,2.75
137,2013-07-01,37.879817,-122.221983,35.25,-113.75,0.77,B,Miscellaneous,32.63,39.88,25.09,0.16,19.27,87.65,1.48,6.49,3.76
138,2013-07-12,33.9341,-117.55585,35.25,-113.75,1.0,B,Missing/Undefined,26.59,31.75,20.79,0.52,46.26,87.74,1.05,6.08,3.25
139,2013-07-03,33.6709,-117.206533,35.25,-113.75,1.0,B,Missing/Undefined,31.36,38.56,23.39,0.0,20.1,87.52,2.62,6.72,4.47
140,2013-07-25,32.6341,-116.178367,35.25,-113.75,1.0,B,Missing/Undefined,28.45,34.48,22.74,5.45,44.06,87.91,1.96,4.75,3.63
141,2013-07-02,37.7216,-121.683617,35.25,-113.75,1.0,B,Miscellaneous,30.87,37.71,23.79,0.25,21.78,87.76,1.91,7.48,4.38
142,2013-07-11,39.5524,-121.765083,35.25,-113.75,1.0,B,Missing/Undefined,24.68,29.02,22.14,0.88,54.15,87.77,0.9,6.02,4.4
143,2013-07-08,37.048333,-121.545567,35.25,-113.75,1.0,B,Miscellaneous,31.8,39.35,23.15,0.0,17.06,87.77,1.35,6.75,4.22
144,2013-07-19,38.650517,-121.07745,35.25,-113.75,163.0,D,Miscellaneous,28.8,34.98,22.19,0.6,38.89,87.69,1.24,4.44,2.54
145,2013-07-09,40.377222,-122.7275,35.25,-113.75,215.0,D,Missing/Undefined,30.42,36.82,22.54,0.0,20.77,88.01,1.04,5.09,3.27
146,2013-07-10,38.4394,-121.979217,35.25,-113.75,13.0,C,Miscellaneous,28.47,34.62,22.04,0.11,29.37,87.85,0.53,5.37,2.54
147,2013-07-22,37.327217,-119.769033,35.25,-113.75,1.0,B,Miscellaneous,25.24,30.4,19.78,0.24,58.63,87.83,1.49,5.43,3.36
148,2013-07-19,39.961317,-122.330883,35.25,-113.75,195.0,D,Miscellaneous,28.8,34.98,22.19,0.6,38.89,87.69,1.24,4.44,2.54
149,2013-07-25,33.786517,-117.237483,35.25,-113.75,1.0,B,Missing/Undefined,28.45,34.48,22.74,5.45,44.06,87.91,1.96,4.75,3.63
150,2013-07-16,34.225083000000005,-117.41005,35.25,-113.75,0.5,B,Missing/Undefined,28.06,33.9,21.94,1.65,37.13,87.7,2.66,7.6,5.02
151,2013-07-13,36.96055,-120.65395,35.25,-113.75,0.5,B,Missing/Undefined,28.38,34.09,20.5,1.55,37.96,87.8,1.16,3.32,2.25
152,2013-07-05,33.9282,-116.905183,35.25,-113.75,0.3,B,Miscellaneous,27.72,33.22,22.96,0.07,34.28,87.44,1.82,10.51,6.72
153,2013-07-26,37.64345,-121.410383,35.25,-113.75,0.08,A,Missing/Undefined,25.55,30.72,22.16,3.67,60.42,88.16,1.33,4.63,2.75
154,2013-07-14,36.677417,-119.880533,35.25,-113.75,0.2,A,Miscellaneous,29.59,34.69,23.69,1.48,32.98,87.75,0.26,3.42,1.77
155,2013-07-15,35.105217,-120.63125,35.25,-113.75,6.0,B,Missing/Undefined,28.88,34.48,23.93,3.31,37.74,87.54,1.93,3.5,2.48
156,2013-07-27,37.491883,-120.703067,35.25,-113.75,6.0,B,Miscellaneous,26.51,31.57,20.65,6.15,51.98,87.85,0.13,5.75,3.13
157,2013-07-05,36.646517,-119.3402,35.25,-113.75,6.0,B,Missing/Undefined,27.72,33.22,22.96,0.07,34.28,87.44,1.82,10.51,6.72
158,2013-07-05,38.404317,-120.0208,35.25,-113.75,4.6,B,Miscellaneous,27.72,33.22,22.96,0.07,34.28,87.44,1.82,10.51,6.72
159,2013-07-12,37.330983,-120.5247,35.25,-113.75,4.0,B,Miscellaneous,26.59,31.75,20.79,0.52,46.26,87.74,1.05,6.08,3.25
160,2013-07-18,37.321,-120.3265,35.25,-113.75,4.0,B,Missing/Undefined,28.95,34.95,23.44,0.82,39.57,87.85,1.12,3.79,2.2
161,2013-07-04,38.7821,-123.01695,35.25,-113.75,4.0,B,Missing/Undefined,31.1,37.51,24.47,0.2,19.61,87.37,2.81,7.93,4.85
162,2013-07-24,36.300283,-120.273217,35.25,-113.75,4.0,B,Miscellaneous,29.4,35.24,22.3,0.91,38.44,87.73,1.04,2.63,1.67
163,2013-07-19,37.839183,-120.863483,35.25,-113.75,4.0,B,Missing/Undefined,28.8,34.98,22.19,0.6,38.89,87.69,1.24,4.44,2.54
164,2013-07-24,38.83265,-120.870167,35.25,-113.75,4.0,B,Miscellaneous,29.4,35.24,22.3,0.91,38.44,87.73,1.04,2.63,1.67
165,2013-07-28,38.81455,-122.800967,35.25,-113.75,0.1,A,Miscellaneous,27.03,32.67,22.06,2.06,48.4,87.54,0.24,4.91,2.48
166,2013-07-01,33.9758,-117.475767,35.25,-113.75,0.1,A,Miscellaneous,32.63,39.88,25.09,0.16,19.27,87.65,1.48,6.49,3.76
167,2013-07-05,35.033973,-120.497823,35.25,-113.75,0.1,A,Missing/Undefined,27.72,33.22,22.96,0.07,34.28,87.44,1.82,10.51,6.72
168,2013-07-19,40.012233,-122.458233,35.25,-113.75,0.1,A,Missing/Undefined,28.8,34.98,22.19,0.6,38.89,87.69,1.24,4.44,2.54
169,2013-07-19,38.45855,-120.484683,35.25,-113.75,0.1,A,Debris Burning,28.8,34.98,22.19,0.6,38.89,87.69,1.24,4.44,2.54
170,2013-07-02,37.8371,-120.504533,35.25,-113.75,0.1,A,Missing/Undefined,30.87,37.71,23.79,0.25,21.78,87.76,1.91,7.48,4.38
